"scenario_id","user_id","roleplay_profile","input","motion_preference","scenario","state_path","user_need","current_risk","baseline_gate","iteration_1_gate","target_behavior","reduced_motion_behavior","interrupt_probe","acceptance_gate","target_gate"
"S013","U013","Offline investigator; top-level navigator; refresh and receipt fetch can fail","mouse","standard","Dashboard to Work pane — refresh and receipt fetch can fail","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","nearby actionable error feedback that preserves context; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: nearby actionable error feedback that preserves context.","PASS"
"S014","U014","Dense-store analyst; top-level navigator; 200 loaded receipts and long evidence payloads","mouse","standard","Dashboard to Work pane — 200 loaded receipts and long evidence payloads","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","bounded work and no large animated reflow; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: bounded work and no large animated reflow.","PASS"
"S015","U015","Empty-store newcomer; top-level navigator; no receipts or usage history yet","mouse","standard","Dashboard to Work pane — no receipts or usage history yet","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","empty-state continuity without fake skeleton loops; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: empty-state continuity without fake skeleton loops.","PASS"
"S016","U016","Dark-mode night user; top-level navigator; dark appearance and low ambient light","trackpad","standard","Dashboard to Work pane — dark appearance and low ambient light","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","no brightness flash or double-exposed crossfade; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: no brightness flash or double-exposed crossfade.","PASS"
"S017","U017","Minimum-window user; top-level navigator; 960 by 560 window","mouse","standard","Dashboard to Work pane — 960 by 560 window","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","transitions that do not clip or shift the page header; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: transitions that do not clip or shift the page header.","PASS"
"S018","U018","Ultrawide-window user; top-level navigator; wide 5K display","mouse","standard","Dashboard to Work pane — wide 5K display","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","motion localized to the affected region rather than the whole canvas; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: motion localized to the affected region rather than the whole canvas.","PASS"
"S019","U019","Careful non-native-English reader; top-level navigator; reads labels and status slowly","mouse","standard","Dashboard to Work pane — reads labels and status slowly","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","specific persistent wording and no timed dismissal; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: specific persistent wording and no timed dismissal.","PASS"
"S020","U020","Anxious failed-check reviewer; top-level navigator; investigates blocked work and failed evidence","mouse","standard","Dashboard to Work pane — investigates blocked work and failed evidence","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","calm, predictable transitions with errors never softened or hidden; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: calm, predictable transitions with errors never softened or hidden.","PASS"
"S021","U021","First-day evaluator; receipt opener; unfamiliar labels and no learned spatial map","mouse","standard","Work table row to receipt detail — unfamiliar labels and no learned spatial map","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","clear cause-and-effect without surprise; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: clear cause-and-effect without surprise.","PASS"
"S022","U022","Everyday developer; receipt opener; repeats the workflow many times per day","trackpad","standard","Work table row to receipt detail — repeats the workflow many times per day","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","speed with no decorative delay; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: speed with no decorative delay.","PASS"
"S023","U023","Keyboard-first expert; receipt opener; tabs and activates without hovering","keyboard","standard","Work table row to receipt detail — tabs and activates without hovering","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","focus and selection feedback independent of pointer hover; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: focus and selection feedback independent of pointer hover.","PASS"
"S024","U024","Trackpad power user; receipt opener; moves quickly between dense targets","trackpad","standard","Work table row to receipt detail — moves quickly between dense targets","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","immediate, interruptible response; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: immediate, interruptible response.","PASS"
"S025","U025","Precision-mouse user; receipt opener; expects desktop-native restraint","mouse","standard","Work table row to receipt detail — expects desktop-native restraint","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","subtle highlight feedback rather than touch-like theatrics; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: subtle highlight feedback rather than touch-like theatrics.","PASS"
"S026","U026","Motion-sensitive user; receipt opener; macOS Reduce Motion enabled","mouse","reduce","Work table row to receipt detail — macOS Reduce Motion enabled","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","no spatial travel, bounce, scaling, or auto-scroll; keep semantic fades; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: no spatial travel, bounce, scaling, or auto-scroll; keep semantic fades.","PASS"
"S027","U027","VoiceOver reviewer; receipt opener; navigates by accessible names and focus order","keyboard+VoiceOver","standard","Work table row to receipt detail — navigates by accessible names and focus order","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","announced state and stable focus, not motion-only meaning; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: announced state and stable focus, not motion-only meaning.","PASS"
"S028","U028","High-contrast user; receipt opener; Increase Contrast and Differentiate Without Color","mouse","standard","Work table row to receipt detail — Increase Contrast and Differentiate Without Color","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","shape, text, or focus state in addition to color; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: shape, text, or focus state in addition to color.","PASS"
"S029","U029","Low-vision reviewer; receipt opener; large text and display zoom","mouse","standard","Work table row to receipt detail — large text and display zoom","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","stable geometry and no clipped transition endpoints; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: stable geometry and no clipped transition endpoints.","PASS"
"S030","U030","Limited-dexterity user; receipt opener; slow pointer and occasional repeated activation","mouse","standard","Work table row to receipt detail — slow pointer and occasional repeated activation","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","comfortable hit targets and forgiving repeat input; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: comfortable hit targets and forgiving repeat input.","PASS"
"S031","U031","Rapid-switching expert; receipt opener; issues a second action before the first animation settles","keyboard+mouse","standard","Work table row to receipt detail — issues a second action before the first animation settles","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","retargeting with no queued or stale destination; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: retargeting with no queued or stale destination.","PASS"
"S032","U032","Constrained-Mac user; receipt opener; fetch and rendering take about 800 ms","trackpad","standard","Work table row to receipt detail — fetch and rendering take about 800 ms","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","stable placeholders and no flicker or frozen-looking blank area; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: stable placeholders and no flicker or frozen-looking blank area.","PASS"
"S033","U033","Offline investigator; receipt opener; refresh and receipt fetch can fail","mouse","standard","Work table row to receipt detail — refresh and receipt fetch can fail","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","nearby actionable error feedback that preserves context; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: nearby actionable error feedback that preserves context.","PASS"
"S034","U034","Dense-store analyst; receipt opener; 200 loaded receipts and long evidence payloads","mouse","standard","Work table row to receipt detail — 200 loaded receipts and long evidence payloads","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","bounded work and no large animated reflow; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: bounded work and no large animated reflow.","PASS"
"S035","U035","Empty-store newcomer; receipt opener; no receipts or usage history yet","mouse","standard","Work table row to receipt detail — no receipts or usage history yet","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","empty-state continuity without fake skeleton loops; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: empty-state continuity without fake skeleton loops.","PASS"
"S036","U036","Dark-mode night user; receipt opener; dark appearance and low ambient light","trackpad","standard","Work table row to receipt detail — dark appearance and low ambient light","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","no brightness flash or double-exposed crossfade; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: no brightness flash or double-exposed crossfade.","PASS"
"S037","U037","Minimum-window user; receipt opener; 960 by 560 window","mouse","standard","Work table row to receipt detail — 960 by 560 window","work.list.ready -> selectTask -> work.detail.loading -> work.detail.ready","transitions that do not clip or shift the page header; receipt opener","WorkPane replaces the complete table with the split record layout without a same-pane transition, so hierarchy teleports.","FAIL","PASS","Commit selection immediately; transition list to split detail with a 200 ms ease-out opacity plus at most 12 pt directional offset; end with the same task persistently selected in the rail.","Use a 120 ms opacity dissolve only; no offset.","Activate Back or a second row during entry; cancel the obsolete fetch and retarget from the visible state.","No intermediate wrong record; rail selection and detail title match; Back remains available; transition is reversible and never blocks input. Persona-specific gate: transitions that do not clip or shift the page header.","PASS"
